teacherid,year,mathscore,numaides,treatment,schoolid,grade,yr1_treatment
30112,2001,1009.4348,2,0,12,3,0
30113,2001,1052.3438,2,1,12,3,2009
30114,2001,1095.2333,2,0,13,3,0
30115,2001,1288.5909,2,0,13,3,0
30116,2001,1057.6801,2,0,13,3,0
30117,2001,1097.0322,2,0,13,3,0
30118,2001,1024.1,2,0,13,3,0
30119,2001,1170.9688,2,1,14,3,2011
30120,2001,974.86664,2,0,14,3,0
30121,2001,1118.52,2,0,14,3,0
30122,2001,985.06897,2,1,14,3,2009
30123,2001,1107.75,2,0,14,3,0
30124,2001,1190.0952,2,0,15,3,0
30125,2001,1073.8889,2,0,15,3,0
30126,2001,1159.5358,2,0,15,3,0
30127,2001,1171.0454,2,0,15,3,0
30128,2001,1054.037,2,1,15,3,2008
30129,2001,1123.2963,2,1,16,3,2009
30130,2001,1180.1818,2,0,16,3,0
30131,2001,1073.52,2,0,16,3,0
30132,2001,1176.6154,2,0,16,3,0
30133,2001,1097.7587,2,1,16,3,2006
30134,2001,1123.7742,2,0,16,3,0
30135,2001,1047.9048,2,1,17,3,2011
30136,2001,1195.4073,2,0,17,3,0
30137,2001,1262.7084,2,1,17,3,2005
30138,2001,1177,2,1,17,3,2005
30139,2001,983.875,2,1,17,3,2007
30140,2001,979.76666,2,1,17,3,2009
30141,2001,1059,2,0,17,3,0
30142,2001,1053.9091,2,0,18,3,0
30143,2001,1176.4091,2,1,18,3,2011
30144,2001,1041.6957,2,0,18,3,0
30145,2001,1145.0385,2,1,18,3,2011
30146,2001,1108.0344,2,0,18,3,0
30147,2001,1194.25,2,1,19,3,2012
30148,2001,1067.7097,2,0,19,3,0
30149,2001,1250.4286,2,0,19,3,0
30150,2001,974.80768,2,0,19,3,0
30151,2001,1150.2581,2,1,19,3,2006
30152,2001,1108.931,2,1,19,3,2007
30153,2001,1168.5667,2,0,20,3,0
30154,2001,1116.9048,2,1,20,3,2004
30155,2001,1084.3704,2,1,20,3,2008
30156,2001,1041.1111,2,1,20,3,2011
30157,2001,1072.7037,2,1,21,3,2012
30158,2001,1155.5667,2,1,21,3,2010
30159,2001,1130.6774,2,1,21,3,2005
30160,2001,1119.6538,2,1,21,3,2010
30161,2001,1043,2,0,22,3,0
30162,2001,1111.0358,2,1,22,3,2012
30163,2001,1033.0952,2,0,22,3,0
30164,2001,1138.381,2,0,22,3,0
30165,2001,1176.48,2,1,23,3,2005
30166,2001,1139.871,2,0,23,3,0
30167,2001,1050.75,2,1,23,3,2012
30168,2001,1295.76,2,0,23,3,0
30169,2001,1076.2174,2,0,23,3,0
30170,2001,1068.7391,2,1,24,3,2006
30171,2001,1135.5927,2,0,24,3,0
30172,2001,992.5,2,0,24,3,0
30173,2001,1087.6923,2,1,24,3,2006
30174,2001,1099.76,2,1,25,3,2007
30175,2001,1003.4138,2,0,25,3,0
30176,2001,1045.2142,2,1,25,3,2004
30177,2001,1202.1904,2,0,25,3,0
30178,2001,1089.3448,2,0,25,3,0
30179,2001,991.73914,2,0,25,3,0
30180,2001,1165.8214,2,1,25,3,2005
30181,2001,1119.3103,2,0,26,3,0
30182,2001,1047.4642,2,0,26,3,0
30183,2001,1144.8572,2,1,26,3,2007
30184,2001,1258.6364,2,0,26,3,0
30185,2001,1130.5,2,1,26,3,2004
30186,2001,1126.4286,2,1,26,3,2006
30187,2001,986.84613,2,0,26,3,0
30188,2001,1258.5358,2,1,27,3,2012
30189,2001,1098.125,2,0,27,3,0
30190,2001,1077.1364,2,0,27,3,0
30191,2001,1100.9678,2,1,27,3,2010
30192,2001,1121.4517,2,1,27,3,2010
30193,2001,1137.4073,2,1,28,3,2012
30194,2001,1215.4445,2,0,28,3,0
30195,2001,1039.3448,2,0,28,3,0
30196,2001,1165.0344,2,1,28,3,2004
30197,2001,1211.7826,2,0,28,3,0
30198,2001,980.33331,2,0,29,3,0
30199,2001,1102.9667,2,1,29,3,2008
30200,2001,1082.125,2,0,29,3,0
30201,2001,1231.88,2,0,29,3,0
30202,2001,1108.92,2,0,29,3,0
30203,2001,1081.1563,2,1,30,3,2004
30204,2001,1108.2858,2,1,30,3,2004
30205,2001,1217.3448,2,1,30,3,2008
30206,2001,1188.7407,2,1,30,3,2009
30207,2001,1006.4783,2,0,30,3,0
30208,2001,1188.96,2,1,30,3,2006
30209,2001,1192.1538,2,1,31,3,2009
30210,2001,893.14288,2,0,31,3,0
30211,2001,1054.6666,2,0,31,3,0
30212,2001,1176.2903,2,0,31,3,0
30213,2001,1181.24,2,0,31,3,0
30214,2001,1104.3199,2,0,31,3,0
30215,2001,1158.3846,2,0,32,3,0
30216,2001,1174.2727,2,0,32,3,0
30217,2001,1054.0968,2,1,32,3,2006
30218,2001,1034.7273,2,0,32,3,0
30219,2001,1091.0909,2,1,32,3,2007
30220,2001,977.40912,2,1,32,3,2004
30221,2001,1111.5927,2,0,33,3,0
30222,2001,1214.16,2,1,33,3,2011
30223,2001,991.4762,2,0,33,3,0
30224,2001,1085.8572,2,0,33,3,0
30225,2001,1135.5652,2,1,34,3,2004
30226,2001,1128.1034,2,0,34,3,0
30227,2001,1108.6923,2,1,34,3,2005
30228,2001,1117.1111,2,1,34,3,2011
30229,2001,1105.3125,2,0,34,3,0
30230,2001,1082.8462,2,1,34,3,2012
30231,2001,1184.1724,2,0,35,3,0
30232,2001,1156,2,0,35,3,0
30233,2001,1142.5416,2,0,35,3,0
30234,2001,1152.9524,2,0,35,3,0
30235,2001,1203.1923,2,0,35,3,0
30236,2001,1207.7826,2,1,35,3,2009
30237,2001,1102.8572,2,1,35,3,2007
30238,2001,1038.1904,2,1,36,3,2008
30239,2001,1108.125,2,0,36,3,0
30240,2001,1077.4399,2,0,36,3,0
30241,2001,1078.4138,2,0,36,3,0
30242,2001,1270.9091,2,1,36,3,2012
30243,2001,1205.88,2,0,37,3,0
30244,2001,1065.1072,2,0,37,3,0
30245,2001,1104.8695,2,1,37,3,2006
30246,2001,1123.4828,2,0,37,3,0
30247,2001,1193.129,2,1,37,3,2012
30248,2001,1093.0968,2,0,37,3,0
30249,2001,1155.6,2,1,37,3,2006
30250,2001,1170.4193,2,1,38,3,2009
30251,2001,1134.7273,2,1,38,3,2008
30252,2001,1000.1379,2,0,38,3,0
30253,2001,1034.5667,2,1,38,3,2004
30254,2001,1128.6207,2,0,39,3,0
30255,2001,1122.7916,2,0,39,3,0
30256,2001,1267,2,1,39,3,2007
30257,2001,1015.3333,2,0,39,3,0
30258,2001,1169.375,2,0,40,3,0
30259,2001,1184.238,2,1,40,3,2007
30260,2001,1260.1364,2,1,40,3,2010
30261,2001,1118.381,2,1,40,3,2012
30262,2001,1181.375,2,0,40,3,0
30263,2001,1095.5,2,0,40,3,0
30264,2001,1127.375,2,0,40,3,0
30265,2001,1013.2381,2,0,41,3,0
30266,2001,1148.5714,2,0,41,3,0
30267,2001,1163.8518,2,1,41,3,2010
30268,2001,1092,2,0,41,3,0
30269,2001,1089.0358,2,0,41,3,0
30270,2001,1174.7,2,1,42,3,2005
30271,2001,1071.625,2,0,42,3,0
30272,2001,1169.48,2,1,42,3,2004
30273,2001,1064.0909,2,0,42,3,0
30274,2001,1165.931,2,1,42,3,2009
30275,2001,1040,2,0,42,3,0
30276,2001,1110.6072,2,0,43,3,0
30277,2001,1127.8148,2,1,43,3,2007
30278,2001,1110.9,2,0,43,3,0
30279,2001,1030.0714,2,0,43,3,0
30280,2001,1176.8572,2,1,43,3,2011
30281,2001,1136.2609,2,0,43,3,0
30282,2001,1100.24,2,1,43,3,2004
30283,2001,1164.2084,2,0,44,3,0
30284,2001,1181.6086,2,1,44,3,2011
30285,2001,1068.5862,2,1,44,3,2012
30286,2001,1115.0952,2,0,44,3,0
30287,2001,1180.6666,2,0,44,3,0
30288,2001,1185.2069,2,1,44,3,2009
40001,2001,1051.1852,2,0,1,4,0
40002,2001,1099.3334,2,1,2,4,2011
40003,2001,1168.1,2,0,3,4,0
40004,2001,1128.7407,2,1,4,4,2011
40005,2001,1128.0869,2,0,5,4,0
40006,2001,1149.6,2,0,6,4,0
40007,2001,1154.8096,2,0,7,4,0
40008,2001,1127.238,2,1,8,4,2005
40009,2001,1137.3103,2,0,9,4,0
40010,2001,1088.2413,2,0,10,4,0
40011,2001,1155.9375,2,0,11,4,0
40012,2001,1054.9656,2,1,12,4,2008
40013,2001,1095.4399,2,0,13,4,0
40014,2001,1096.6086,2,1,14,4,2012
40015,2001,1179.5555,2,1,15,4,2010
40016,2001,1250.6818,2,1,16,4,2006
40017,2001,1131.5454,2,1,17,4,2005
40018,2001,1220.8077,2,0,18,4,0
40019,2001,1207,2,0,19,4,0
40020,2001,1051.4138,2,1,20,4,2009
40021,2001,1068.7587,2,0,21,4,0
40022,2001,1010.7097,2,0,22,4,0
40023,2001,1130.0322,2,1,23,4,2012
40024,2001,1120.2307,2,1,24,4,2010
40025,2001,1019.08,2,1,25,4,2009
40026,2001,1132.2142,2,0,26,4,0
40027,2001,1241.4348,2,0,27,4,0
40028,2001,969.15997,2,0,28,4,0
40029,2001,1038.6522,2,0,29,4,0
40030,2001,1033.9656,2,0,30,4,0
40031,2001,1054.72,2,1,31,4,2012
40032,2001,1168.5652,2,0,32,4,0
40033,2001,1033.4166,2,0,33,4,0
40034,2001,1146.2727,2,1,34,4,2005
40035,2001,1136.1428,2,1,35,4,2010
40036,2001,1108.3103,2,0,36,4,0
40037,2001,951.63635,2,0,37,4,0
40038,2001,1128.0416,2,1,38,4,2006
40039,2001,1199.84,2,1,39,4,2007
40040,2001,1106.1923,2,0,40,4,0
40041,2001,1170.381,2,1,41,4,2007
40042,2001,1208.6154,2,0,42,4,0
40043,2001,1009.0476,2,0,43,4,0
40044,2001,1114.5938,2,0,44,4,0
40045,2001,1180.5909,2,0,1,4,0
40046,2001,1037.1875,2,0,1,4,0
40047,2001,1079.76,2,0,1,4,0
40048,2001,1166.7916,2,1,1,4,2008
40049,2001,1253.8276,2,1,1,4,2009
40050,2001,1164.4445,2,0,1,4,0
40051,2001,1101.2307,2,1,2,4,2006
40052,2001,1149.6451,2,1,2,4,2010
40053,2001,1120.6,2,1,2,4,2006
40054,2001,1051.6538,2,1,2,4,2010
40055,2001,1174.5,2,0,2,4,0
40056,2001,1162.9259,2,1,2,4,2004
40057,2001,1144.4445,2,1,2,4,2012
40058,2001,1116.6666,2,1,3,4,2012
40059,2001,1119.4091,2,1,3,4,2009
40060,2001,1086,2,1,3,4,2009
40061,2001,1134.2609,2,0,3,4,0
40062,2001,1134.4667,2,1,3,4,2010
40063,2001,1127.0344,2,0,4,4,0
40064,2001,1014.1818,2,0,4,4,0
40065,2001,1184.0322,2,0,4,4,0
40066,2001,1138.7273,2,0,4,4,0
40067,2001,1138.9063,2,0,4,4,0
40068,2001,1173.4445,2,1,4,4,2006
40069,2001,1043,2,1,4,4,2004
40070,2001,1172.5518,2,1,5,4,2010
40071,2001,1086.4073,2,0,5,4,0
40072,2001,1155.75,2,1,5,4,2006
40073,2001,1163.3214,2,0,5,4,0
40074,2001,1071.6538,2,0,5,4,0
40075,2001,1077.8096,2,0,6,4,0
40076,2001,1084.0333,2,0,6,4,0
40077,2001,1089.28,2,1,6,4,2008
40078,2001,1065.8438,2,0,6,4,0
40079,2001,1164.1666,2,0,7,4,0
40080,2001,1130.9354,2,1,7,4,2011
40081,2001,1125.1666,2,0,7,4,0
40082,2001,1060.6451,2,1,7,4,2006
40083,2001,940.13043,2,0,7,4,0
40084,2001,1224.04,2,0,7,4,0
40085,2001,1168.0646,2,0,8,4,0
40086,2001,1134.6666,2,0,8,4,0
40087,2001,1099.4286,2,0,8,4,0
40088,2001,1084.6451,2,0,8,4,0
40089,2001,1159.1428,2,1,8,4,2012
40090,2001,1144.5807,2,1,9,4,2005
40091,2001,1130.25,2,0,9,4,0
40092,2001,1018.2273,2,0,9,4,0
40093,2001,1125.4348,2,1,9,4,2011
40094,2001,1120.6154,2,0,9,4,0
40095,2001,1098.5834,2,1,9,4,2009
40096,2001,1207.6129,2,0,9,4,0
40097,2001,1172.4091,2,1,10,4,2005
40098,2001,1041.3462,2,0,10,4,0
40099,2001,1161.6522,2,1,10,4,2004
40100,2001,1147.5,2,1,10,4,2004
40101,2001,1010.7619,2,0,10,4,0
40102,2001,1053,2,0,10,4,0
40103,2001,1159.7858,2,1,10,4,2008
40104,2001,1206.0952,2,0,11,4,0
40105,2001,1072.0385,2,0,11,4,0
40106,2001,1184.2,2,1,11,4,2007
40107,2001,1138.0646,2,0,11,4,0
40108,2001,1145.9091,2,0,11,4,0
40109,2001,1177.2609,2,0,11,4,0
40110,2001,1156.76,2,1,12,4,2007
40111,2001,1036.08,2,0,12,4,0
40112,2001,1219.5909,2,1,12,4,2006
40113,2001,1074.8182,2,0,12,4,0
40114,2001,1046.3125,2,0,12,4,0
40115,2001,1101.7931,2,0,12,4,0
40116,2001,929.04547,2,0,13,4,0
40117,2001,1121.1379,2,0,13,4,0
40118,2001,1081.64,2,1,13,4,2011
40119,2001,1118.037,2,0,13,4,0
40120,2001,1165.75,2,1,13,4,2006
40121,2001,1110.2142,2,0,14,4,0
40122,2001,1150.4348,2,1,14,4,2007
40123,2001,1132.3125,2,0,14,4,0
40124,2001,1076.4231,2,1,14,4,2010
40125,2001,1145.4231,2,1,14,4,2004
40126,2001,1132.0454,2,1,14,4,2009
40127,2001,1086.8572,2,1,14,4,2009
40128,2001,1176.5909,2,1,15,4,2009
40129,2001,1027.3462,2,1,15,4,2008
40130,2001,1141.4,2,1,15,4,2010
40131,2001,1074.5333,2,0,15,4,0
40132,2001,1148.3,2,1,15,4,2012
40133,2001,1177.7097,2,1,16,4,2007
40134,2001,1215.8695,2,1,16,4,2005
40135,2001,1218.3334,2,1,16,4,2006
40136,2001,1041.6207,2,0,16,4,0
40137,2001,1172.3199,2,1,17,4,2011
40138,2001,995.5238,2,0,17,4,0
40139,2001,1161.2693,2,0,17,4,0
40140,2001,1120.28,2,1,17,4,2008
40141,2001,1163.069,2,0,18,4,0
40142,2001,1044.08,2,1,18,4,2009
40143,2001,1171,2,1,18,4,2009
40144,2001,1144.7391,2,0,18,4,0
40145,2001,1000.04,2,1,18,4,2004
40146,2001,1052.3448,2,0,18,4,0
40147,2001,1181.7037,2,1,19,4,2011
40148,2001,1083.7307,2,1,19,4,2011
40149,2001,1093.5,2,0,19,4,0
40150,2001,1142.6801,2,0,19,4,0
40151,2001,1213.0909,2,0,19,4,0
40152,2001,1112.3572,2,0,19,4,0
40153,2001,1197.7407,2,1,20,4,2004
40154,2001,1065.9375,2,0,20,4,0
40155,2001,1051.2813,2,0,20,4,0
40156,2001,1115.1538,2,1,20,4,2006
40157,2001,1095.6923,2,1,20,4,2004
40158,2001,1158.5927,2,0,21,4,0
40159,2001,1144.3448,2,1,21,4,2006
40160,2001,1064.4138,2,0,21,4,0
40161,2001,1083.3182,2,1,21,4,2010
40162,2001,1101.6897,2,1,22,4,2007
40163,2001,1018.9565,2,0,22,4,0
40164,2001,1098.3125,2,1,22,4,2008
40165,2001,1197.4063,2,1,22,4,2004
40166,2001,1147.8667,2,0,22,4,0
40167,2001,999.15997,2,1,22,4,2008
40168,2001,1132.12,2,0,23,4,0
40169,2001,1102.9048,2,0,23,4,0
40170,2001,1015.5217,2,0,23,4,0
40171,2001,1223,2,1,23,4,2008
40172,2001,928.31818,2,0,23,4,0
40173,2001,1056.7858,2,0,24,4,0
40174,2001,1064.2963,2,0,24,4,0
40175,2001,1116.08,2,0,24,4,0
40176,2001,1067.3478,2,0,24,4,0
40177,2001,1163.2174,2,0,25,4,0
40178,2001,1141.6801,2,0,25,4,0
40179,2001,1106.88,2,1,25,4,2005
40180,2001,1038.2,2,1,25,4,2005
40181,2001,1122.8928,2,1,25,4,2005
40182,2001,991.14288,2,0,25,4,0
40183,2001,1178.9091,2,0,25,4,0
40184,2001,1025.2273,2,0,26,4,0
40185,2001,1042.2258,2,0,26,4,0
40186,2001,1134.9546,2,1,26,4,2011
40187,2001,1126.0322,2,0,26,4,0
40188,2001,1074.4762,2,1,27,4,2008
40189,2001,1218.4166,2,1,27,4,2007
40190,2001,932.44,2,0,27,4,0
40191,2001,1326.762,2,1,27,4,2011
40192,2001,1104.9286,2,1,28,4,2006
40193,2001,1057.75,2,1,28,4,2008
40194,2001,1198.2903,2,1,28,4,2004
40195,2001,1250.7931,2,1,28,4,2010
40196,2001,1157.8334,2,1,28,4,2005
40197,2001,1105.8621,2,0,29,4,0
40198,2001,1076,2,0,29,4,0
40199,2001,1108.0869,2,0,29,4,0
40200,2001,1118.1875,2,1,29,4,2009
40201,2001,1093.5652,2,0,29,4,0
40202,2001,1202.72,2,0,29,4,0
40203,2001,1103.5927,2,0,29,4,0
40204,2001,1119.3572,2,0,30,4,0
40205,2001,1195.24,2,0,30,4,0
40206,2001,1223.0454,2,1,30,4,2012
40207,2001,1058.5,2,0,30,4,0
40208,2001,1080.7667,2,0,31,4,0
40209,2001,1010.9286,2,0,31,4,0
40210,2001,993.77271,2,1,31,4,2005
40211,2001,1273.3462,2,1,31,4,2004
40212,2001,1128.8214,2,1,32,4,2006
40213,2001,1168,2,1,32,4,2008
40214,2001,1024.0333,2,1,32,4,2010
40215,2001,1095.8334,2,0,32,4,0
40216,2001,1167.6086,2,1,32,4,2010
40217,2001,1050.9565,2,0,32,4,0
40218,2001,1221.2727,2,1,33,4,2004
40219,2001,1012,2,1,33,4,2006
40220,2001,1064.8064,2,0,33,4,0
40221,2001,989.65216,2,0,33,4,0
40222,2001,1029.2174,2,0,33,4,0
40223,2001,1001.125,2,0,33,4,0
40224,2001,1085.3704,2,0,34,4,0
40225,2001,1261.8182,2,0,34,4,0
40226,2001,1180.7037,2,0,34,4,0
40227,2001,1079.4,2,0,34,4,0
40228,2001,1138.28,2,0,34,4,0
40229,2001,1000.9355,2,0,34,4,0
40230,2001,1023.0769,2,1,35,4,2006
40231,2001,1149.9354,2,0,35,4,0
40232,2001,1138.6818,2,1,35,4,2007
40233,2001,1188.7667,2,1,35,4,2006
40234,2001,1275.8572,2,1,35,4,2005
40235,2001,1001.3704,2,0,35,4,0
40236,2001,1132.24,2,1,36,4,2010
40237,2001,1134.2581,2,1,36,4,2004
40238,2001,1056.5,2,1,36,4,2004
40239,2001,976.70367,2,0,36,4,0
40240,2001,1015.5,2,0,37,4,0
40241,2001,1055.3199,2,0,37,4,0
40242,2001,1193.5714,2,0,37,4,0
40243,2001,1061.64,2,0,37,4,0
40244,2001,1042.0358,2,0,38,4,0
40245,2001,1050.871,2,0,38,4,0
40246,2001,1028.3448,2,0,38,4,0
40247,2001,1004.6087,2,0,38,4,0
40248,2001,1224.7727,2,1,39,4,2011
40249,2001,1178.5217,2,0,39,4,0
40250,2001,1143.1364,2,1,39,4,2005
40251,2001,1265.5,2,1,39,4,2007
40252,2001,1086.5172,2,1,39,4,2008
40253,2001,1181.1563,2,0,39,4,0
40254,2001,1079.5909,2,1,40,4,2005
40255,2001,1227.1428,2,1,40,4,2009
40256,2001,1142.8334,2,1,40,4,2011
40257,2001,1110.6786,2,0,40,4,0
40258,2001,1143.0834,2,0,41,4,0
40259,2001,1055.2581,2,0,41,4,0
40260,2001,1094.0313,2,0,41,4,0
40261,2001,1098.8695,2,1,41,4,2006
40262,2001,1128,2,1,42,4,2005
40263,2001,1169.7391,2,1,42,4,2010
40264,2001,1067.64,2,0,42,4,0
40265,2001,947.5238,2,1,42,4,2004
40266,2001,1168.5186,2,0,42,4,0
40267,2001,1207.24,2,1,42,4,2012
40268,2001,1265.619,2,0,42,4,0
40269,2001,1026.7742,2,0,43,4,0
40270,2001,1100.5358,2,1,43,4,2011
40271,2001,1161.1072,2,1,43,4,2009
40272,2001,1139.5,2,0,43,4,0
40273,2001,1100.2593,2,0,44,4,0
40274,2001,1067.5667,2,1,44,4,2012
40275,2001,1196.6786,2,1,44,4,2006
40276,2001,1138.4286,2,0,44,4,0
40277,2001,1154.5483,2,0,44,4,0
50001,2001,1100.0646,2,1,1,5,2008
50002,2001,1283.3199,2,1,2,5,2011
50003,2001,1132.5,2,0,3,5,0
50004,2001,1179.5,2,1,4,5,2005
50005,2001,1084.3928,2,1,5,5,2005
50006,2001,1103.125,2,0,6,5,0
50007,2001,898.74194,2,0,7,5,0
50008,2001,1116,2,0,8,5,0
50009,2001,1111.6129,2,1,9,5,2012
50010,2001,1151.0435,2,1,10,5,2008
50011,2001,1099.48,2,1,11,5,2007
50012,2001,1086.6666,2,1,12,5,2011
50013,2001,1173.5358,2,1,13,5,2005
50014,2001,1092.1154,2,1,14,5,2006
50015,2001,1191.3199,2,1,15,5,2009
50016,2001,1078.92,2,1,16,5,2011
50017,2001,1187.375,2,0,17,5,0
50018,2001,1045.3914,2,1,18,5,2004
50019,2001,1070.3043,2,0,19,5,0
50020,2001,1195.069,2,1,20,5,2008
50021,2001,1146.9615,2,0,21,5,0
50022,2001,1108.75,2,0,22,5,0
50023,2001,1181.0952,2,1,23,5,2004
50024,2001,1083.3103,2,1,24,5,2004
50025,2001,1191.4193,2,1,25,5,2008
50026,2001,1117.0476,2,1,26,5,2010
50027,2001,1146.1154,2,1,27,5,2009
50028,2001,1059.5714,2,1,28,5,2012
50029,2001,1160.6072,2,0,29,5,0
50030,2001,1168.0322,2,1,30,5,2012
50031,2001,1024.8889,2,1,31,5,2009
50032,2001,1227.1786,2,0,32,5,0
50033,2001,1092.125,2,0,33,5,0
50034,2001,1191.9048,2,1,34,5,2004
50035,2001,1042.6957,2,1,35,5,2008
50036,2001,1102.2188,2,0,36,5,0
50037,2001,1168.0869,2,0,37,5,0
50038,2001,1212.6296,2,1,38,5,2012
50039,2001,1129.5834,2,0,39,5,0
50040,2001,1122.069,2,0,40,5,0
50041,2001,1052.5667,2,1,41,5,2004
50042,2001,1138.2858,2,1,42,5,2004
50043,2001,1011.8276,2,0,43,5,0
50044,2001,1180.6897,2,1,44,5,2005
50045,2001,1137.3077,2,1,1,5,2012
50046,2001,1219.8064,2,1,1,5,2011
50047,2001,1238.2727,2,1,1,5,2010
50048,2001,1127.5555,2,1,1,5,2012
50049,2001,1160.2581,2,1,1,5,2008
50050,2001,1228.5186,2,1,1,5,2009
50051,2001,1210,2,1,2,5,2010
50052,2001,1193.5,2,0,2,5,0
50053,2001,1075.88,2,1,2,5,2005
50054,2001,1190.5,2,1,2,5,2009
50055,2001,1082.6666,2,0,2,5,0
50056,2001,1239.24,2,1,3,5,2007
50057,2001,1146.0741,2,0,3,5,0
50058,2001,1105.0952,2,1,3,5,2012
50059,2001,1015.1818,2,1,3,5,2011
50060,2001,1150.6,2,0,3,5,0
50061,2001,1010.1304,2,0,3,5,0
50062,2001,1150.5172,2,1,3,5,2012
50063,2001,1107.3636,2,1,4,5,2006
50064,2001,1188.6129,2,1,4,5,2006
